region,segment,OrderDate,UnitPrice,orderQuantity,stateOrProvince,year,totalCost,month
East,Red Wine,30.12.2011,55.98,41.0,New South Wales,2011,2295.18,12
East,Red Wine,21.11.2013,21.38,79.0,New South Wales,2013,1689.02,11
East,Red Wine,20.07.2013,2.18,55.0,New South Wales,2013,119.9,7
East,Red Wine,20.02.2013,2.08,1.0,New South Wales,2013,2.08,2
East,Red Wine,30.10.2012,4.98,4.0,New South Wales,2012,19.92,10
East,Red Wine,14.09.2011,48.58,21.0,New South Wales,2011,1020.18,9
East,Red Wine,14.11.2011,294.62,10.0,New South Wales,2011,2946.2,11
East,Red Wine,13.09.2013,2.61,23.0,New South Wales,2013,60.03,9
East,Red Wine,19.09.2010,21.98,16.0,New South Wales,2010,351.68,9
East,Red Wine,18.09.2013,15.42,24.0,New South Wales,2013,370.08,9
East,Red Wine,01.06.2010,15.31,12.0,New South Wales,2010,183.72,6
East,Red Wine,21.09.2010,2.88,10.0,New South Wales,2010,28.8,9
East,Red Wine,08.01.2010,896.99,6.0,New South Wales,2010,5381.94,1
East,Red Wine,30.09.2011,60.98,16.0,New South Wales,2011,975.68,9
East,Red Wine,15.08.2013,5.4,19.0,New South Wales,2013,102.6,8
East,Red Wine,22.03.2012,11.58,3.0,New South Wales,2012,34.74,3
East,Red Wine,28.05.2012,3.69,16.0,New South Wales,2012,59.04,5
East,Red Wine,22.04.2010,15.42,5.0,New South Wales,2010,77.1,4
East,Red Wine,21.05.2011,8.85,17.0,New South Wales,2011,150.45,5
East,Red Wine,24.11.2011,2.21,23.0,New South Wales,2011,50.83,11
East,Red Wine,01.08.2013,8.01,3.0,New South Wales,2013,24.03,8
East,Red Wine,24.02.2011,6.48,4.0,New South Wales,2011,25.92,2
East,Red Wine,04.08.2011,59.76,14.0,New South Wales,2011,836.64,8
East,Red Wine,22.02.2012,155.06,7.0,New South Wales,2012,1085.42,2
East,Red Wine,21.03.2010,6.48,8.0,New South Wales,2010,51.84,3
East,Red Wine,11.02.2011,28.15,4.0,New South Wales,2011,112.6,2
East,Red Wine,04.10.2013,80.98,7.0,New South Wales,2013,566.86,10
East,Red Wine,01.10.2010,142.86,23.0,New South Wales,2010,3285.78,10
East,Red Wine,22.11.2013,48.94,44.0,New South Wales,2013,2153.36,11
East,Red Wine,25.05.2013,6.48,1.0,New South Wales,2013,6.48,5
East,Red Wine,01.04.2013,5.68,9.0,New South Wales,2013,51.12,4
East,Red Wine,12.03.2012,6.48,13.0,New South Wales,2012,84.24,3
East,Red Wine,30.10.2010,2.62,21.0,New South Wales,2010,55.02,10
East,Red Wine,02.11.2010,3.58,26.0,New South Wales,2010,93.08,11
East,Red Wine,22.01.2011,30.44,3.0,New South Wales,2011,91.32,1
East,Red Wine,11.06.2012,5.34,9.0,New South Wales,2012,48.06,6
East,Red Wine,18.11.2013,300.65,41.0,New South Wales,2013,12326.65,11
East,Red Wine,19.09.2012,48.04,12.0,New South Wales,2012,576.48,9
East,Red Wine,10.12.2013,300.65,6.0,New South Wales,2013,1803.9,12
East,Red Wine,12.11.2010,223.98,21.0,New South Wales,2010,4703.58,11
East,Red Wine,10.08.2013,165.2,5.0,New South Wales,2013,826.0,8
East,Red Wine,02.04.2012,5.98,1.0,New South Wales,2012,5.98,4
East,Red Wine,12.05.2011,40.98,16.0,New South Wales,2011,655.68,5
East,Red Wine,02.02.2011,3.28,9.0,New South Wales,2011,29.52,2
East,Red Wine,08.10.2013,10.89,4.0,New South Wales,2013,43.56,10
East,Red Wine,02.05.2012,5.68,3.0,New South Wales,2012,17.04,5
East,Red Wine,18.10.2012,896.99,7.0,New South Wales,2012,6278.93,10
East,Red Wine,24.05.2013,2.88,6.0,New South Wales,2013,17.28,5
East,Red Wine,10.09.2013,22.01,23.0,New South Wales,2013,506.23,9
East,Red Wine,16.06.2012,3.14,18.0,New South Wales,2012,56.52,6
East,Red Wine,15.05.2011,6.48,17.0,New South Wales,2011,110.16,5
East,Red Wine,10.06.2012,13.48,18.0,New South Wales,2012,242.64,6
East,Red Wine,20.01.2010,60.22,9.0,New South Wales,2010,541.98,1
East,Red Wine,05.05.2010,120.98,17.0,New South Wales,2010,2056.66,5
East,Red Wine,02.07.2012,1.89,13.0,New South Wales,2012,24.57,7
East,Red Wine,25.06.2011,5.98,10.0,New South Wales,2011,59.8,6
East,Red Wine,22.03.2010,6.84,1.0,New South Wales,2010,6.84,3
East,Red Wine,17.07.2011,5.74,9.0,New South Wales,2011,51.66,7
East,Red Wine,17.12.2013,10.98,14.0,New South Wales,2013,153.72,12
East,Red Wine,02.08.2010,4.91,9.0,New South Wales,2010,44.19,8
East,Red Wine,23.05.2012,2.78,16.0,New South Wales,2012,44.48,5
East,Red Wine,26.11.2013,2.88,23.0,New South Wales,2013,66.24,11
East,Red Wine,11.03.2013,43.41,11.0,New South Wales,2013,477.51,3
East,Red Wine,10.06.2013,9.78,1.0,New South Wales,2013,9.78,6
East,Red Wine,10.04.2013,48.91,4.0,New South Wales,2013,195.64,4
East,Red Wine,07.12.2012,14.42,12.0,New South Wales,2012,173.04,12
East,Red Wine,03.05.2012,6.48,6.0,New South Wales,2012,38.88,5
East,Red Wine,14.08.2012,5.84,1.0,New South Wales,2012,5.84,8
East,Red Wine,02.04.2010,37.94,4.0,New South Wales,2010,151.76,4
East,Red Wine,01.12.2013,28.53,9.0,New South Wales,2013,256.77,12
East,Red Wine,01.12.2013,6.48,24.0,New South Wales,2013,155.52,12
East,Red Wine,23.09.2012,5.81,18.0,New South Wales,2012,104.58,9
East,Red Wine,23.09.2010,20.27,13.0,New South Wales,2010,263.51,9
East,Red Wine,04.07.2013,3.34,11.0,New South Wales,2013,36.74,7
East,Red Wine,14.06.2010,315.98,9.0,New South Wales,2010,2843.82,6
East,Red Wine,11.08.2012,4.13,14.0,New South Wales,2012,57.82,8
East,Red Wine,02.02.2011,5.98,5.0,New South Wales,2011,29.9,2
East,Red Wine,20.05.2012,6.48,4.0,New South Wales,2012,25.92,5
East,Red Wine,23.03.2012,6.81,10.0,New South Wales,2012,68.1,3
East,Red Wine,16.11.2012,4.98,36.0,New South Wales,2012,179.28,11
East,Red Wine,03.06.2011,2.84,7.0,New South Wales,2011,19.88,6
East,Red Wine,03.09.2013,3.8,3.0,New South Wales,2013,11.4,9
East,Red Wine,24.03.2010,15.42,2.0,New South Wales,2010,30.84,3
East,Red Wine,07.03.2011,52.4,11.0,New South Wales,2011,576.4,3
East,Red Wine,31.10.2013,6.48,13.0,New South Wales,2013,84.24,10
East,Red Wine,11.04.2013,64.98,6.0,New South Wales,2013,389.88,4
North,Red Wine,06.09.2011,83.98,62.0,Northern Territory,2011,5206.76,9
North,Red Wine,14.06.2011,5.88,32.0,Northern Territory,2011,188.16,6
North,Red Wine,03.06.2010,1.68,11.0,Northern Territory,2010,18.48,6
North,Red Wine,18.05.2012,4.98,16.0,Northern Territory,2012,79.68,5
North,Red Wine,23.03.2011,6.48,7.0,Northern Territory,2011,45.36,3
North,Red Wine,02.07.2010,60.97,6.0,Northern Territory,2010,365.82,7
North,Red Wine,19.01.2013,16.99,4.0,Northern Territory,2013,67.96,1
North,Red Wine,14.06.2013,11.55,8.0,Northern Territory,2013,92.4,6
North,Red Wine,17.05.2012,2.6,10.0,Northern Territory,2012,26.0,5
North,Red Wine,04.04.2013,15.28,5.0,Northern Territory,2013,76.4,4
North,Red Wine,11.05.2013,5.68,9.0,Northern Territory,2013,51.12,5
North,Red Wine,04.08.2011,18.97,3.0,Northern Territory,2011,56.91,8
North,Red Wine,08.02.2013,7.08,4.0,Northern Territory,2013,28.32,2
North,Red Wine,14.01.2011,6.48,8.0,Northern Territory,2011,51.84,1
North,Red Wine,26.06.2013,4.13,6.0,Northern Territory,2013,24.78,6
North,Red Wine,15.09.2012,4.28,18.0,Northern Territory,2012,77.04,9
North,Red Wine,12.12.2010,6.68,14.0,Northern Territory,2010,93.52,12
North,Red Wine,27.04.2011,19.98,3.0,Northern Territory,2011,59.94,4
North,Red Wine,27.04.2013,39.98,6.0,Northern Territory,2013,239.88,4
North,Red Wine,06.11.2011,5.98,23.0,Northern Territory,2011,137.54,11
North,Red Wine,08.10.2010,35.89,19.0,Northern Territory,2010,681.91,10
North,Red Wine,02.03.2013,387.99,8.0,Northern Territory,2013,3103.92,3
North,Red Wine,27.11.2012,8.85,12.0,Northern Territory,2012,106.2,11
North,Red Wine,29.07.2013,20.98,1.0,Northern Territory,2013,20.98,7
North,Red Wine,04.12.2011,6.75,2.0,Northern Territory,2011,13.5,12
North,Red Wine,04.02.2011,5.28,12.0,Queensland,2011,63.36,2
North,Red Wine,25.04.2012,6.48,2.0,Queensland,2012,12.96,4
North,Red Wine,04.01.2013,55.29,9.0,Queensland,2013,497.61,1
North,Red Wine,06.01.2012,7.28,1.0,Queensland,2012,7.28,1
North,Red Wine,17.03.2010,5.98,10.0,Queensland,2010,59.8,3
North,Red Wine,23.10.2011,8.74,10.0,Queensland,2011,87.4,10
North,Red Wine,07.09.2012,7.98,7.0,Queensland,2012,55.86,9
North,Red Wine,12.09.2011,14.27,1.0,Queensland,2011,14.27,9
North,Red Wine,17.09.2013,33.29,15.0,Queensland,2013,499.35,9
North,Red Wine,22.11.2012,9.11,18.0,Queensland,2012,163.98,11
North,Red Wine,08.03.2011,4.28,10.0,Queensland,2011,42.8,3
North,Red Wine,17.12.2012,8.04,13.0,Queensland,2012,104.52,12
North,Red Wine,14.12.2013,6.48,1.0,Queensland,2013,6.48,12
North,Red Wine,18.09.2013,8.56,14.0,Queensland,2013,119.84,9
North,Red Wine,22.08.2010,5.18,5.0,Queensland,2010,25.9,8
North,Red Wine,29.11.2011,6.08,16.0,Queensland,2011,97.28,11
North,Red Wine,24.03.2011,3.58,4.0,Queensland,2011,14.32,3
North,Red Wine,08.06.2013,4.84,1.0,Queensland,2013,4.84,6
North,Red Wine,09.08.2013,17.07,12.0,Queensland,2013,204.84,8
North,Red Wine,08.03.2012,3.98,5.0,Queensland,2012,19.9,3
South,Red Wine,22.02.2012,3.28,21.0,South Australia,2012,68.88,2
South,Red Wine,01.08.2013,11.97,36.0,Australian Capital Territory,2013,430.92,8
South,Red Wine,05.07.2012,49.43,68.0,South Australia,2012,3361.24,7
South,Red Wine,09.10.2012,6.48,79.0,Australian Capital Territory,2012,511.92,10
South,Red Wine,14.03.2010,4.28,24.0,South Australia,2010,102.72,3
South,Red Wine,05.05.2010,122.99,12.0,South Australia,2010,1475.88,5
South,Red Wine,14.07.2011,14.48,6.0,South Australia,2011,86.88,7
South,Red Wine,29.10.2010,15.57,3.0,South Australia,2010,46.71,10
South,Red Wine,02.10.2013,68.81,12.0,South Australia,2013,825.72,10
South,Red Wine,29.06.2013,165.98,17.0,South Australia,2013,2821.66,6
South,Red Wine,01.02.2010,3.08,4.0,South Australia,2010,12.32,2
South,Red Wine,10.10.2012,15.42,7.0,South Australia,2012,107.94,10
South,Red Wine,09.12.2010,6.3,15.0,South Australia,2010,94.5,12
South,Red Wine,14.04.2012,180.98,10.0,South Australia,2012,1809.8,4
South,Red Wine,06.04.2010,12.88,13.0,South Australia,2010,167.44,4
South,Red Wine,16.03.2012,3.38,9.0,South Australia,2012,30.42,3
South,Red Wine,15.07.2010,2.88,7.0,South Australia,2010,20.16,7
South,Red Wine,15.01.2011,48.91,6.0,South Australia,2011,293.46,1
South,Red Wine,06.05.2011,3.98,3.0,South Australia,2011,11.94,5
South,Red Wine,11.08.2010,5.98,14.0,South Australia,2010,83.72,8
South,Red Wine,18.07.2012,12.28,13.0,South Australia,2012,159.64,7
South,Red Wine,10.04.2010,10.98,5.0,South Australia,2010,54.9,4
South,Red Wine,01.10.2013,4.98,5.0,Australian Capital Territory,2013,24.9,10
South,Red Wine,18.10.2010,48.04,18.0,South Australia,2010,864.72,10
South,Red Wine,05.07.2010,279.48,8.0,South Australia,2010,2235.84,7
South,Red Wine,05.02.2012,90.24,13.0,Australian Capital Territory,2012,1173.12,2
South,Red Wine,30.10.2013,5.98,8.0,South Australia,2013,47.84,10
South,Red Wine,27.08.2010,4.98,7.0,South Australia,2010,34.86,8
South,Red Wine,10.01.2012,3.75,4.0,Australian Capital Territory,2012,15.0,1
South,Red Wine,11.12.2013,30.98,21.0,South Australia,2013,650.58,12
South,Red Wine,02.03.2011,2.89,3.0,South Australia,2011,8.67,3
South,Red Wine,18.03.2010,5.98,6.0,South Australia,2010,35.88,3
South,Red Wine,07.09.2013,2.6,6.0,South Australia,2013,15.6,9
South,Red Wine,27.01.2011,3.14,1.0,South Australia,2011,3.14,1
South,Red Wine,26.09.2012,19.98,23.0,South Australia,2012,459.54,9
South,Red Wine,11.10.2010,7.28,1.0,South Australia,2010,7.28,10
South,Red Wine,18.01.2013,15.74,13.0,South Australia,2013,204.62,1
South,Red Wine,30.10.2013,1.14,15.0,South Australia,2013,17.1,10
South,Red Wine,03.07.2011,6.48,12.0,South Australia,2011,77.76,7
South,Red Wine,07.08.2010,14.81,20.0,South Australia,2010,296.2,8
South,Red Wine,19.05.2013,13.43,1.0,South Australia,2013,13.43,5
South,Red Wine,09.07.2011,6.48,10.0,South Australia,2011,64.8,7
South,Red Wine,05.05.2010,68.81,68.0,Tasmania,2010,4679.08,5
South,Red Wine,18.11.2011,2.61,41.0,Tasmania,2011,107.01,11
South,Red Wine,09.08.2013,30.98,16.0,Tasmania,2013,495.68,8
South,Red Wine,20.07.2013,17.15,22.0,Tasmania,2013,377.3,7
South,Red Wine,08.02.2011,6.48,18.0,Tasmania,2011,116.64,2
South,Red Wine,26.12.2011,11.97,31.0,Tasmania,2011,371.07,12
South,Red Wine,06.05.2011,4.06,7.0,Tasmania,2011,28.42,5
South,Red Wine,15.05.2012,8.04,36.0,Tasmania,2012,289.44,5
South,Red Wine,13.06.2012,6.35,78.0,Tasmania,2012,495.3,6
South,Red Wine,09.10.2012,6.48,49.0,Tasmania,2012,317.52,10
South,Red Wine,20.12.2010,9.06,24.0,Tasmania,2010,217.44,12
South,Red Wine,29.03.2013,22.99,32.0,Tasmania,2013,735.68,3
South,Red Wine,17.01.2010,11.55,25.0,Tasmania,2010,288.75,1
South,Red Wine,23.03.2012,6.81,41.0,Tasmania,2012,279.21,3
South,Red Wine,15.01.2011,6.48,3.0,Tasmania,2011,19.44,1
South,Red Wine,29.04.2012,5.98,3.0,Tasmania,2012,17.94,4
South,Red Wine,23.08.2013,30.98,19.0,Tasmania,2013,588.62,8
South,Red Wine,13.06.2013,3.14,15.0,Tasmania,2013,47.1,6
South,Red Wine,31.01.2011,5.78,2.0,Tasmania,2011,11.56,1
South,Red Wine,15.10.2013,47.9,23.0,Tasmania,2013,1101.7,10
South,Red Wine,27.02.2011,48.91,4.0,Tasmania,2011,195.64,2
South,Red Wine,21.05.2012,24.95,3.0,Tasmania,2012,74.85,5
South,Red Wine,02.12.2010,24.92,1.0,Tasmania,2010,24.92,12
South,Red Wine,18.03.2013,8.95,1.0,Tasmania,2013,8.95,3
South,Red Wine,05.05.2011,30.98,17.0,Tasmania,2011,526.66,5
South,Red Wine,15.04.2010,15.16,7.0,Tasmania,2010,106.12,4
South,Red Wine,22.01.2011,47.9,5.0,Tasmania,2011,239.5,1
South,Red Wine,02.12.2010,11.55,5.0,Tasmania,2010,57.75,12
South,Red Wine,02.12.2010,2.08,20.0,Tasmania,2010,41.6,12
South,Red Wine,05.04.2012,11.58,6.0,Tasmania,2012,69.48,4
South,Red Wine,06.08.2010,1.86,12.0,Tasmania,2010,22.32,8
South,Red Wine,10.11.2013,15.04,38.0,Tasmania,2013,571.52,11
South,Red Wine,22.07.2013,15.04,11.0,Tasmania,2013,165.44,7
South,Red Wine,19.08.2010,54.1,9.0,Tasmania,2010,486.9,8
South,Red Wine,20.12.2011,167.27,20.0,Tasmania,2011,3345.4,12
South,Red Wine,14.08.2013,24.95,5.0,Tasmania,2013,124.75,8
South,Red Wine,01.01.2013,3.98,14.0,Tasmania,2013,55.72,1
South,Red Wine,12.07.2012,4.91,2.0,Tasmania,2012,9.82,7
South,Red Wine,12.02.2013,14.27,3.0,Tasmania,2013,42.81,2
South,Red Wine,04.11.2010,3.26,5.0,Victoria,2010,16.3,11
South,Red Wine,11.02.2012,419.19,11.0,Victoria,2012,4611.09,2
South,Red Wine,16.01.2011,10.35,3.0,Victoria,2011,31.05,1
South,Red Wine,20.12.2013,30.56,9.0,Victoria,2013,275.04,12
South,Red Wine,28.01.2010,59.98,1.0,Victoria,2010,59.98,1
South,Red Wine,28.01.2010,5.18,9.0,Victoria,2010,46.62,1
South,Red Wine,18.02.2013,7.98,10.0,Victoria,2013,79.8,2
South,Red Wine,02.09.2013,10.98,24.0,Victoria,2013,263.52,9
South,Red Wine,08.07.2013,22.84,17.0,Victoria,2013,388.28,7
South,Red Wine,27.05.2011,13.48,5.0,Victoria,2011,67.4,5
South,Red Wine,30.04.2012,5.78,6.0,Victoria,2012,34.68,4
South,Red Wine,29.06.2012,3.98,7.0,Victoria,2012,27.86,6
South,Red Wine,22.12.2012,2.78,21.0,Victoria,2012,58.38,12
South,Red Wine,29.12.2011,13.48,6.0,Victoria,2011,80.88,12
South,Red Wine,05.08.2010,64.65,4.0,Victoria,2010,258.6,8
South,Red Wine,13.10.2011,420.98,1.0,Victoria,2011,420.98,10
South,Red Wine,08.02.2013,2.88,5.0,Victoria,2013,14.4,2
South,Red Wine,18.11.2012,6.48,24.0,Victoria,2012,155.52,11
South,Red Wine,06.05.2011,6.48,8.0,Victoria,2011,51.84,5
South,Red Wine,03.05.2012,9.71,6.0,Victoria,2012,58.26,5
South,Red Wine,11.04.2013,20.98,12.0,Victoria,2013,251.76,4
South,Red Wine,03.11.2013,167.27,19.0,Victoria,2013,3178.13,11
South,Red Wine,02.11.2010,4.13,18.0,Victoria,2010,74.34,11
South,Red Wine,23.06.2010,3.28,4.0,Victoria,2010,13.12,6
South,Red Wine,25.07.2012,178.47,1.0,Victoria,2012,178.47,7
South,Red Wine,05.02.2013,11.5,12.0,Victoria,2013,138.0,2
South,Red Wine,13.02.2013,7.89,4.0,Victoria,2013,31.56,2
South,Red Wine,06.06.2012,20.15,17.0,Victoria,2012,342.55,6
South,Red Wine,20.06.2010,2.78,18.0,Victoria,2010,50.04,6
South,Red Wine,25.07.2012,6.48,15.0,Victoria,2012,97.2,7
South,Red Wine,20.11.2013,34.58,39.0,Victoria,2013,1348.62,11
South,Red Wine,29.10.2010,28.53,18.0,Victoria,2010,513.54,10
South,Red Wine,14.08.2012,8.34,4.0,Victoria,2012,33.36,8
South,Red Wine,13.06.2013,2.08,4.0,Victoria,2013,8.32,6
South,Red Wine,18.11.2012,30.98,16.0,Victoria,2012,495.68,11
West,Red Wine,24.01.2012,3.85,4.0,Western Australia,2012,15.4,1
West,Red Wine,22.06.2010,2.88,17.0,Western Australia,2010,48.96,6
West,Red Wine,18.07.2012,3.69,53.0,Western Australia,2012,195.57,7
West,Red Wine,09.10.2010,4.91,36.0,Western Australia,2010,176.76,10
West,Red Wine,13.09.2011,4.54,38.0,Western Australia,2011,172.52,9
West,Red Wine,13.11.2013,1.88,68.0,Western Australia,2013,127.84,11
West,Red Wine,06.02.2012,5.98,35.0,Western Australia,2012,209.3,2
West,Red Wine,15.10.2011,29.74,61.0,Western Australia,2011,1814.14,10
West,Red Wine,09.09.2013,3.98,42.0,Western Australia,2013,167.16,9
West,Red Wine,04.03.2013,4.98,24.0,Western Australia,2013,119.52,3
West,Red Wine,25.09.2013,5.06,40.0,Western Australia,2013,202.4,9
West,Red Wine,10.02.2013,6.37,22.0,Western Australia,2013,140.14,2
West,Red Wine,23.02.2011,3.49,46.0,Western Australia,2011,160.54,2
West,Red Wine,23.04.2010,5.28,5.0,Western Australia,2010,26.4,4
West,Red Wine,27.08.2010,6.68,90.0,Western Australia,2010,601.2,8
West,Red Wine,24.10.2013,3.29,44.0,Western Australia,2013,144.76,10
West,Red Wine,30.09.2013,1.82,84.0,Western Australia,2013,152.88,9
West,Red Wine,01.10.2013,208.16,26.0,Western Australia,2013,5412.16,10
West,Red Wine,20.02.2011,37.7,8.0,Western Australia,2011,301.6,2
West,Red Wine,12.09.2012,4.98,13.0,Western Australia,2012,64.74,9
West,Red Wine,09.10.2010,3.89,21.0,Western Australia,2010,81.69,10
West,Red Wine,11.02.2011,2.88,3.0,Western Australia,2011,8.64,2
West,Red Wine,09.12.2013,6.48,14.0,Western Australia,2013,90.72,12
West,Red Wine,16.03.2012,15.7,7.0,Western Australia,2012,109.9,3
West,Red Wine,11.08.2012,6.48,15.0,Western Australia,2012,97.2,8
West,Red Wine,17.10.2010,25.98,17.0,Western Australia,2010,441.66,10
West,Red Wine,09.12.2011,162.93,22.0,Western Australia,2011,3584.46,12
West,Red Wine,03.06.2010,2.61,17.0,Western Australia,2010,44.37,6
West,Red Wine,24.07.2010,101.41,10.0,Western Australia,2010,1014.1,7
West,Red Wine,07.09.2010,19.9,13.0,Western Australia,2010,258.7,9
West,Red Wine,08.02.2011,3.58,10.0,Western Australia,2011,35.8,2
West,Red Wine,25.12.2013,4.28,14.0,Western Australia,2013,59.92,12
West,Red Wine,16.05.2010,5.98,6.0,Western Australia,2010,35.88,5
West,Red Wine,13.05.2010,2.62,12.0,Western Australia,2010,31.44,5
West,Red Wine,10.04.2012,11.34,6.0,Western Australia,2012,68.04,4
West,Red Wine,04.04.2010,4.0,5.0,Western Australia,2010,20.0,4
West,Red Wine,23.03.2013,4.13,9.0,Western Australia,2013,37.17,3
West,Red Wine,27.06.2013,2.78,2.0,Western Australia,2013,5.56,6
West,Red Wine,24.04.2010,2.88,1.0,Western Australia,2010,2.88,4
West,Red Wine,28.01.2010,55.48,1.0,Western Australia,2010,55.48,1
West,Red Wine,29.09.2012,4.73,11.0,Western Australia,2012,52.03,9
West,Red Wine,15.08.2011,12.95,5.0,Western Australia,2011,64.75,8
West,Red Wine,19.01.2010,18.97,1.0,Western Australia,2010,18.97,1
West,Red Wine,02.02.2012,6.98,6.0,Western Australia,2012,41.88,2
West,Red Wine,17.09.2011,5.98,9.0,Western Australia,2011,53.82,9
West,Red Wine,18.05.2011,7.64,1.0,Western Australia,2011,7.64,5
West,Red Wine,08.02.2012,8.85,4.0,Western Australia,2012,35.4,2
West,Red Wine,05.05.2012,37.7,2.0,Western Australia,2012,75.4,5
West,Red Wine,13.07.2010,4.48,4.0,Western Australia,2010,17.92,7
West,Red Wine,26.08.2011,4.13,19.0,Western Australia,2011,78.47,8
West,Red Wine,07.04.2011,10.98,7.0,Western Australia,2011,76.86,4
West,Red Wine,09.07.2010,3.98,11.0,Western Australia,2010,43.78,7
West,Red Wine,16.01.2013,10.48,10.0,Western Australia,2013,104.8,1
West,Red Wine,27.12.2013,1.76,11.0,Western Australia,2013,19.36,12
West,Red Wine,23.07.2012,300.65,4.0,Western Australia,2012,1202.6,7
West,Red Wine,05.06.2011,111.03,10.0,Western Australia,2011,1110.3,6
West,Red Wine,22.10.2013,100.98,19.0,Western Australia,2013,1918.62,10
West,Red Wine,03.03.2013,6.84,2.0,Western Australia,2013,13.68,3
West,Red Wine,09.06.2011,4.71,12.0,Western Australia,2011,56.52,6
West,Red Wine,03.03.2013,6.23,5.0,Western Australia,2013,31.15,3
West,Red Wine,21.07.2012,11.5,1.0,Western Australia,2012,11.5,7
West,Red Wine,14.09.2013,2.88,17.0,Western Australia,2013,48.96,9
West,Red Wine,14.08.2013,40.99,16.0,Western Australia,2013,655.84,8
West,Red Wine,13.06.2013,16.51,15.0,Western Australia,2013,247.65,6
West,Red Wine,15.04.2013,5.99,5.0,Western Australia,2013,29.95,4
West,Red Wine,16.08.2013,4.98,9.0,Western Australia,2013,44.82,8
West,Red Wine,28.08.2010,17.24,7.0,Western Australia,2010,120.68,8
West,Red Wine,19.10.2011,6.48,5.0,Western Australia,2011,32.4,10
West,Red Wine,25.10.2010,4.37,19.0,Western Australia,2010,83.03,10
West,Red Wine,06.07.2012,8.56,10.0,Western Australia,2012,85.6,7
West,Red Wine,30.01.2013,3.08,1.0,Western Australia,2013,3.08,1
West,Red Wine,18.01.2013,193.17,9.0,Western Australia,2013,1738.53,1
West,Red Wine,01.06.2013,4.98,11.0,Western Australia,2013,54.78,6
West,Red Wine,18.10.2013,11.58,19.0,Western Australia,2013,220.02,10
West,Red Wine,04.01.2012,10.48,2.0,Western Australia,2012,20.96,1
West,Red Wine,19.03.2013,7.35,4.0,Western Australia,2013,29.4,3
West,Red Wine,12.04.2010,35.51,2.0,Western Australia,2010,71.02,4
West,Red Wine,17.01.2011,13.9,10.0,Western Australia,2011,139.0,1
West,Red Wine,25.05.2012,4.28,13.0,Western Australia,2012,55.64,5
West,Red Wine,07.08.2010,41.94,6.0,Western Australia,2010,251.64,8
West,Red Wine,30.08.2013,7.1,23.0,Western Australia,2013,163.3,8
West,Red Wine,11.01.2011,142.86,4.0,Western Australia,2011,571.44,1
West,Red Wine,12.12.2013,5.58,22.0,Western Australia,2013,122.76,12
South,Rose / Sparkling Wine,22.10.2012,155.99,7.0,Australian Capital Territory,2012,1091.93,10
South,Rose / Sparkling Wine,30.04.2012,599.99,11.0,Australian Capital Territory,2012,6599.89,4
